CASEID,HRSRELAX,MNTLHLTH
53282,-1,-1
53283, 2, 5
53284, 3,25
53285, 2, 0
53286,-1,-1
53287, 0,15
53288, 4, 0
53289, 1,14
53290, 2, 0
53291,-1,-1
53292,-1,-1
53293,-1,-1
53294,-1,-1
53295,-1,-1
53296, 1, 3
53297,-1,-1
53298,-1,-1
53299,-1,-1
53300,-1,-1
53301, 3, 0
53302, 2, 2
53303, 8,10
53304,-1,-1
53305, 2, 0
53306, 1, 2
53307, 3, 0
53308, 6, 0
53309, 3,15
53310, 6, 0
53311,-1,-1
53312, 5, 0
53313, 5, 0
53314, 5, 5
53315,-1,-1
53316, 4, 0
53317, 3, 3
53318,-1,-1
53319, 3, 0
53320, 7, 9
53321, 8, 0
53322,-1,-1
53323,-1,-1
53324,-1,-1
53325, 6, 0
53326, 4, 5
53327, 3, 2
53328, 5, 0
53329, 3, 0
53330, 3,15
53331, 1, 7
53332, 5,15
53333,-1,-1
53334,-1,-1
53335, 4, 1
53336, 3, 0
53337,-1,-1
53338,-1,-1
53339,-1,-1
53340, 1,15
53341,-1,-1
53342, 2,15
53343, 5, 0
53344, 2, 0
53345,-1,-1
53346, 5, 0
53347,-1,-1
53348, 4, 5
53349, 2, 0
53350, 2,25
53351,-1,-1
53352,-1,-1
53353,-1,-1
53354, 3, 2
53355,-1,-1
53356, 3, 0
53357, 2, 0
53358, 6, 0
53359,-1,-1
53360,-1,-1
53361,-1,-1
53362,-1,-1
53363, 7, 0
53364, 2, 4
53365,-1,-1
53366,-1,-1
53367, 4,30
53368, 5, 3
53369, 4, 0
53370, 4, 0
53371, 3, 0
53372, 5, 0
53373,-1,-1
53374,-1,-1
53375, 4, 1
53376, 1, 0
53377,-1,-1
53378,-1,-1
53379,-1,-1
53380,-1,-1
53381, 2, 0
53382, 8, 1
53383, 8, 0
53384,-1,-1
53385, 1,15
53386,-1,-1
53387, 4, 0
53388,-1,-1
53389,12, 2
53390, 3, 0
53391,-1,-1
53392, 1,21
53393, 7, 0
53394, 8,30
53395,99,99
53396, 2, 6
53397,-1,-1
53398, 2,15
53399,-1,-1
53400,-1,-1
53401, 3, 0
53402,99,99
53403, 8, 0
53404, 2, 0
53405,-1,-1
53406, 3,10
53407, 1, 5
53408,-1,-1
53409,-1,-1
53410, 6, 0
53411,-1,-1
53412,-1,-1
53413, 3,14
53414,-1,-1
53415,-1,-1
53416,-1,-1
53417, 4, 0
53418, 4, 0
53419,99,99
53420, 6, 0
53421, 2, 0
53422, 3, 3
53423,-1,-1
53424,-1,-1
53425,-1,-1
53426, 1,30
53427, 4, 0
53428, 0,30
53429,-1,-1
53430, 4, 0
53431, 0,30
53432,-1,-1
53433, 5, 0
53434, 3,10
53435, 2, 5
53436,-1,-1
53437, 2, 0
53438,-1,-1
53439, 2, 0
53440, 3, 2
53441, 3, 6
53442, 2,30
53443, 3, 0
53444,-1,-1
53445,-1,-1
53446,-1,-1
53447,-1,-1
53448,-1,-1
53449,-1,-1
53450,-1,-1
53451,-1,-1
53452, 7, 0
53453,-1,-1
53454,-1,-1
53455,-1,-1
53456,-1,-1
53457, 3, 0
53458, 4,10
53459, 2,30
53460, 4,30
53461, 8,20
53462, 1, 0
53463, 5, 7
53464,-1,-1
53465,-1,-1
53466, 2, 2
53467,-1,-1
53468, 4, 0
53469, 4, 0
53470,-1,-1
53471, 5, 1
53472, 5, 0
53473,-1,-1
53474,-1,-1
53475, 5, 0
53476,-1,-1
53477,-1,-1
53478, 2, 0
53479,-1,-1
53480, 4,98
53481, 5, 0
53482,-1,-1
53483,-1,-1
53484, 5, 7
53485,-1,-1
53486,-1,-1
53487, 1, 7
53488,-1,-1
53489, 3, 7
53490,-1,-1
53491, 3, 0
53492, 4, 0
53493, 8, 0
53494, 1, 0
53495, 2, 0
53496, 5, 0
53497, 1, 0
53498,-1,-1
53499,-1,-1
53500, 2, 0
53501, 3, 5
53502, 3, 1
53503,-1,-1
53504, 6, 3
53505, 3, 1
53506, 2, 0
53507, 1, 0
53508, 1, 3
53509, 2, 1
53510,10,30
53511,-1,-1
53512, 4, 1
53513, 5, 2
53514,-1,-1
53515, 6, 0
53516,14, 0
53517,-1,-1
53518, 2, 0
53519, 4,10
53520,-1,-1
53521, 0,20
53522, 5, 3
53523, 5, 2
53524,99,99
53525, 2,98
53526,-1,-1
53527, 3, 1
53528, 1,10
53529, 5, 0
53530,-1,-1
53531,-1,-1
53532,-1,-1
53533, 2, 0
53534, 1, 3
53535,-1,-1
53536,99,99
53537,-1,-1
53538, 1, 0
53539,-1,-1
53540, 5, 0
53541, 2, 2
53542,-1,-1
53543, 5, 0
53544,-1,-1
53545, 3, 5
53546, 0, 5
53547,-1,-1
53548,-1,-1
53549, 5, 0
53550,-1,-1
53551, 5,30
53552,-1,-1
53553, 4, 0
53554,-1,-1
53555, 3, 0
53556,-1,-1
53557,-1,-1
53558, 0, 0
53559,-1,-1
53560, 5, 0
53561, 3, 0
53562,-1,-1
53563,-1,-1
53564,-1,-1
53565, 3, 0
53566, 5, 0
53567, 1, 2
53568, 6, 5
53569, 1, 0
53570,-1,-1
53571,-1,-1
53572, 0, 0
53573,-1,-1
53574, 4, 0
53575,-1,-1
53576,-1,-1
53577, 3, 2
53578, 2, 3
53579,-1,-1
53580, 2, 2
53581, 5, 2
53582, 4, 5
53583, 2, 4
53584, 4, 3
53585,-1,-1
53586, 2, 0
53587, 3, 3
53588, 4, 0
53589,-1,-1
53590,-1,-1
53591, 3, 1
53592,-1,-1
53593, 1, 0
53594, 3, 0
53595,-1,-1
53596,-1,-1
53597, 2, 0
53598, 2, 5
53599, 5, 0
53600, 5, 0
53601, 0, 0
53602,-1,-1
53603, 3, 2
53604, 6, 0
53605,-1,-1
53606,-1,-1
53607,-1,-1
53608, 5, 0
53609,-1,-1
53610, 3, 0
53611, 7,30
53612,-1,-1
53613,-1,-1
53614, 5, 0
53615,-1,-1
53616,-1,-1
53617,-1,-1
53618, 3, 7
53619,-1,-1
53620,14,15
53621, 4, 0
53622,-1,-1
53623, 5, 0
53624, 1,20
53625,-1,-1
53626,-1,-1
53627, 1, 0
53628,-1,-1
53629, 2, 0
53630, 2,30
53631, 4, 5
53632,-1,-1
53633, 3, 3
53634,-1,-1
53635,-1,-1
53636, 1,10
53637,-1,-1
53638,-1,-1
53639, 7, 0
53640, 6, 4
53641, 2,15
53642, 5, 5
53643, 6, 0
53644,-1,-1
53645, 8, 0
53646, 5, 3
53647,-1,-1
53648,-1,-1
53649, 4, 2
53650,-1,-1
53651, 4, 2
53652, 5,12
53653, 8, 0
53654, 4, 7
53655, 2, 2
53656,-1,-1
53657,-1,-1
53658, 2, 0
53659,-1,-1
53660, 2, 5
53661, 4, 0
53662, 4, 0
53663, 8, 0
53664, 4, 1
53665, 3,15
53666, 6, 0
53667, 3, 0
53668,-1,-1
53669,-1,-1
53670,-1,-1
53671,-1,-1
53672, 2, 1
53673, 4,15
53674, 8,30
53675, 1, 0
53676, 2, 0
53677,-1,-1
53678, 4, 2
53679,99,99
53680, 1,10
53681,-1,-1
53682,-1,-1
53683,-1,-1
53684,-1,-1
53685, 2,30
53686,-1,-1
53687, 8,15
53688,-1,-1
53689,-1,-1
53690,-1,-1
53691, 2,30
53692, 0,30
53693, 1, 0
53694,-1,-1
53695, 2, 1
53696,-1,-1
53697, 3,30
53698, 6, 0
53699, 3, 0
53700, 4, 0
53701,-1,-1
53702, 4, 0
53703,-1,-1
53704, 2, 1
53705,-1,-1
53706,98, 0
53707,-1,-1
53708,-1,-1
53709,-1,-1
53710, 4,20
53711, 5, 0
53712,-1,-1
53713, 2, 0
53714,-1,-1
53715,-1,-1
53716, 3, 0
53717,-1,-1
53718,-1,-1
53719,-1,-1
53720, 4, 1
53721,-1,-1
53722, 3, 2
53723,-1,-1
53724,-1,-1
53725, 3, 0
53726, 5, 2
53727, 0, 6
53728, 0,30
53729,-1,-1
53730,-1,-1
53731, 4, 0
53732,-1,-1
53733,-1,-1
53734,-1,-1
53735,-1,-1
53736, 0, 0
53737, 2,10
53738, 3, 1
53739, 4, 5
53740, 3,10
53741, 4,15
53742, 2, 0
53743,-1,-1
53744, 3, 2
53745,-1,-1
53746, 6, 0
53747, 6, 0
53748, 4, 4
53749,-1,-1
53750,-1,-1
53751, 3, 0
53752,-1,-1
53753,-1,-1
53754, 5,30
53755,-1,-1
53756,-1,-1
53757, 3, 0
53758,-1,-1
53759,-1,-1
53760,-1,-1
53761, 2,12
53762, 1, 2
53763, 5, 0
53764, 2, 0
53765, 0,99
53766,-1,-1
53767, 2,20
53768,-1,-1
53769,-1,-1
53770,-1,-1
53771,-1,-1
53772,-1,-1
53773,-1,-1
53774,-1,-1
53775, 4,15
53776,-1,-1
53777, 2, 0
53778, 3, 1
53779, 4, 0
53780,99,99
53781, 2,10
53782, 4, 0
53783, 5, 0
53784,-1,-1
53785, 3, 0
53786, 6,10
53787, 1, 7
53788,-1,-1
53789,-1,-1
53790, 6, 0
53791,-1,-1
53792, 3, 7
53793,-1,-1
53794,-1,-1
53795, 3, 3
53796, 1, 0
53797, 3, 1
53798, 8, 0
53799,-1,-1
53800, 5, 0
53801, 4, 0
53802, 5, 0
53803, 4, 0
53804, 5, 0
53805, 5, 4
53806, 4, 5
53807, 3, 0
53808,-1,-1
53809,-1,-1
53810,-1,-1
53811, 3, 0
53812, 4,10
53813, 1, 1
53814, 6, 0
53815, 2, 7
53816, 4, 0
53817,-1,-1
53818, 2, 0
53819,-1,-1
53820, 3, 5
53821,-1,-1
53822, 3, 0
53823,-1,-1
53824, 3, 0
53825,-1,-1
53826, 1, 2
53827,-1,-1
53828, 2, 0
53829, 4, 0
53830,-1,-1
53831, 3, 0
53832, 3, 0
53833,-1,-1
53834, 5, 0
53835,-1,-1
53836,-1,-1
53837,-1,-1
53838,-1,-1
53839, 1, 0
53840, 2, 0
53841,16, 4
53842, 4, 0
53843,-1,-1
53844, 0, 0
53845, 4,10
53846,-1,-1
53847, 0, 0
53848,-1,-1
53849, 2, 0
53850, 2, 1
53851,-1,-1
53852, 2, 2
53853, 8, 0
53854,-1,-1
53855, 2, 0
53856,-1,-1
53857,99,99
53858, 3, 0
53859,16, 3
53860,99,99
53861,-1,-1
53862,-1,-1
53863,-1,-1
53864,-1,-1
53865,-1,-1
53866,-1,-1
53867,-1,-1
53868,-1,-1
53869,-1,-1
53870,-1,-1
53871,-1,-1
53872, 1, 1
53873, 4, 0
53874, 1, 0
53875,-1,-1
53876,-1,-1
53877, 3, 2
53878,-1,-1
53879, 2, 1
53880, 5, 0
53881, 3, 0
53882,-1,-1
53883,-1,-1
53884,10, 7
53885,-1,-1
53886, 8, 0
53887, 1, 4
53888, 3, 5
53889,-1,-1
53890,16, 4
53891, 2, 3
53892, 4,25
53893,-1,-1
53894, 3, 0
53895,-1,-1
53896,-1,-1
53897, 5, 3
53898,-1,-1
53899,-1,-1
53900,-1,-1
53901,-1,-1
53902,-1,-1
53903,-1,-1
53904, 2, 0
53905,-1,-1
53906, 1,30
53907,-1,-1
53908, 1, 2
53909,-1,-1
53910, 1, 3
53911, 4, 0
53912,-1,-1
53913,-1,-1
53914,-1,-1
53915, 2, 7
53916, 3,14
53917,-1,-1
53918,-1,-1
53919,12, 0
53920, 2, 0
53921,24, 1
53922, 4,15
53923, 4, 0
53924,-1,-1
53925,-1,-1
53926,-1,-1
53927,-1,-1
53928,-1,-1
53929,-1,-1
53930, 4,10
53931,-1,-1
53932, 4, 0
53933, 8,30
53934, 0,14
53935, 0, 0
53936,-1,-1
53937,-1,-1
53938,10, 0
53939, 2,15
53940,-1,-1
53941,-1,-1
53942, 5, 1
53943, 4, 0
53944, 4,30
53945,-1,-1
53946,-1,-1
53947, 5, 0
53948,-1,-1
53949,-1,-1
53950, 4, 1
53951, 5, 1
53952,-1,-1
53953, 8,30
53954,-1,-1
53955,-1,-1
53956, 0, 5
53957, 2, 0
53958, 3, 4
53959, 2, 1
53960, 8, 0
53961,-1,-1
53962, 0, 0
53963, 2, 0
53964,99,99
53965,-1,-1
53966, 3, 0
53967,-1,-1
53968,99,99
53969,-1,-1
53970,-1,-1
53971, 3, 0
53972,-1,-1
53973, 6, 3
53974, 5, 2
53975,20, 0
53976, 9,15
53977,-1,-1
53978, 5,98
53979,10, 6
53980,-1,-1
53981,-1,-1
53982,-1,-1
53983, 3,10
53984, 2, 4
53985, 8, 0
53986, 2, 5
53987,-1,-1
53988, 1,98
53989, 2, 4
53990, 3, 2
53991,-1,-1
53992, 4,10
53993,-1,-1
53994,-1,-1
53995, 5, 0
53996, 5, 0
53997,-1,-1
53998, 6, 0
53999,-1,-1
54000,99,99
54001, 1, 0
54002,-1,-1
54003, 4, 2
54004,-1,-1
54005, 2, 0
54006,-1,-1
54007, 4, 0
54008,-1,-1
54009,-1,-1
54010, 2, 0
54011,-1,-1
54012,-1,-1
54013, 1,10
54014,-1,-1
54015,99,99
54016, 4, 1
54017,-1,-1
54018, 2, 0
54019, 5, 1
54020,12, 0
54021, 3,25
54022,-1,-1
54023, 4, 3
54024,-1,-1
54025, 6, 0
54026, 2, 0
54027,-1,-1
54028,-1,-1
54029, 2, 0
54030, 3, 2
54031,-1,-1
54032, 0, 0
54033,-1,-1
54034,-1,-1
54035, 3,30
54036,-1,-1
54037,-1,-1
54038, 5, 0
54039,-1,-1
54040, 1, 5
54041, 5, 4
54042, 2, 0
54043, 6, 1
54044, 6, 0
54045, 1,30
54046,-1,-1
54047, 3, 0
54048,-1,-1
54049, 3, 0
54050,-1,-1
54051, 6, 0
54052, 3, 0
54053, 4, 0
54054, 3, 0
54055, 5, 1
54056, 5, 0
54057, 2,10
54058,-1,-1
54059, 1, 0
54060,-1,-1
54061,-1,-1
54062,-1,-1
54063, 3, 0
54064,-1,-1
54065, 4, 0
54066,-1,-1
54067,-1,-1
54068, 3, 0
54069, 2, 5
54070,-1,-1
54071,10,98
54072, 5, 7
54073, 6,15
54074, 4, 2
54075, 0, 0
54076,-1,-1
54077,-1,-1
54078, 4, 4
54079,-1,-1
54080,-1,-1
54081,-1,-1
54082,-1,-1
54083, 3, 0
54084, 5, 0
54085, 5, 0
54086, 2, 0
54087,-1,-1
54088, 5, 0
54089,-1,-1
54090,-1,-1
54091, 2, 0
54092, 4, 0
54093, 5, 0
54094, 2, 0
54095, 0,30
54096,-1,-1
54097, 1, 0
54098,-1,-1
54099, 2, 0
54100,99,99
54101, 2,20
54102, 5, 5
54103, 2, 0
54104,-1,-1
54105, 2, 0
54106, 2, 0
54107,-1,-1
54108, 1, 2
54109,-1,-1
54110, 7, 3
54111, 3, 0
54112,-1,-1
54113, 5, 0
54114,-1,-1
54115, 2, 2
54116, 2,10
54117, 5, 0
54118, 5, 0
54119, 2, 0
54120,-1,-1
54121,-1,-1
54122,-1,-1
54123, 2, 0
54124, 7, 2
54125, 1, 5
54126, 3, 2
54127, 2, 5
54128, 3,10
54129, 3, 0
54130,-1,-1
54131, 1, 0
54132,-1,-1
54133, 3, 0
54134,-1,-1
54135, 4, 0
54136,-1,-1
54137, 8, 0
54138,-1,-1
54139,-1,-1
54140, 1, 0
54141,-1,-1
54142, 8, 0
54143, 7, 2
54144,-1,-1
54145,-1,-1
54146,-1,-1
54147,10, 0
54148,-1,-1
54149, 6, 8
54150, 4, 0
54151,-1,-1
54152,-1,-1
54153, 3, 0
54154,-1,-1
54155, 5,15
54156, 0, 0
54157, 2, 0
54158, 0,15
54159, 3, 2
54160, 4,15
54161, 4, 4
54162, 4, 2
54163,-1,-1
54164,-1,-1
54165, 8, 0
54166, 2, 0
54167, 1, 0
54168, 4, 0
54169, 4, 5
54170, 3,15
54171,-1,-1
54172,-1,-1
54173, 8, 1
54174,-1,-1
54175, 3, 0
54176,-1,-1
54177,-1,-1
54178, 6, 2
54179, 8, 0
54180,-1,-1
54181,-1,-1
54182, 1, 0
54183,-1,-1
54184,-1,-1
54185, 3, 0
54186,-1,-1
54187,98, 0
54188,-1,-1
54189, 4, 0
54190,-1,-1
54191,-1,-1
54192,-1,-1
54193, 4, 0
54194, 4, 4
54195, 6, 0
54196, 0, 0
54197, 3, 5
54198, 5,30
54199, 2, 5
54200,-1,-1
54201,-1,-1
54202,-1,-1
54203,-1,-1
54204,-1,-1
54205, 6, 0
54206, 1,15
54207, 2, 5
54208, 2, 3
54209,-1,-1
54210,-1,-1
54211, 4, 0
54212, 2, 0
54213, 4, 0
54214, 4, 0
54215, 5, 0
54216, 8, 0
54217, 4, 5
54218, 1,30
54219, 6, 4
54220,-1,-1
54221, 1, 0
54222,-1,-1
54223, 8, 0
54224,-1,-1
54225,-1,-1
54226,-1,-1
54227, 5, 0
54228,-1,-1
54229,-1,-1
54230,-1,-1
54231, 4, 0
54232,-1,-1
54233,-1,-1
54234, 5, 3
54235,-1,-1
54236,-1,-1
54237,-1,-1
54238, 7, 0
54239,-1,-1
54240, 2, 4
54241,-1,-1
54242, 4, 0
54243, 2,30
54244,-1,-1
54245,-1,-1
54246,-1,-1
54247, 4, 0
54248,-1,-1
54249,-1,-1
54250,-1,-1
54251,-1,-1
54252, 3, 2
54253, 8,25
54254,-1,-1
54255, 3, 1
54256,-1,-1
54257,-1,-1
54258,-1,-1
54259, 2, 0
54260,-1,-1
54261, 8, 0
54262,-1,-1
54263, 0, 0
54264,-1,-1
54265,-1,-1
54266, 9, 0
54267, 4,30
54268, 3,30
54269,-1,-1
54270,-1,-1
54271,-1,-1
54272, 4, 0
54273,-1,-1
54274,-1,-1
54275, 4, 5
54276,-1,-1
54277,99,99
54278, 2, 4
54279,-1,-1
54280, 4, 0
54281, 6, 0
54282, 2, 2
54283, 4,25
54284,-1,-1
54285, 2, 1
54286,-1,-1
54287, 2, 0
54288, 2, 5
54289, 2, 0
54290,-1,-1
54291,-1,-1
54292, 1, 0
54293, 1, 1
54294, 8, 0
54295, 3, 3
54296,-1,-1
54297, 2, 4
54298, 3, 2
54299,-1,-1
54300, 5, 0
54301, 4,10
54302, 4, 0
54303,-1,-1
54304, 6, 0
54305,-1,-1
54306, 4,30
54307, 2, 3
54308, 3, 0
54309, 5, 0
54310,-1,-1
54311,-1,-1
54312,-1,-1
54313, 4, 4
54314,-1,-1
54315, 3, 0
54316,-1,-1
54317,-1,-1
54318,-1,-1
54319,-1,-1
54320, 3, 0
54321,99,99
54322, 2, 5
54323, 2,10
54324, 4,12
54325,20, 0
54326, 4, 0
54327, 5, 0
54328,-1,-1
54329,-1,-1
54330, 3, 0
54331, 5, 0
54332, 2, 5
54333,-1,-1
54334,-1,-1
54335, 3, 0
54336,-1,-1
54337, 2, 0
54338, 2, 5
54339, 1, 1
54340,-1,-1
54341, 4, 2
54342,-1,-1
54343, 6, 0
54344,-1,-1
54345, 5, 0
54346, 3, 1
54347,10, 7
54348, 6, 0
54349, 3, 0
54350, 6, 0
54351,-1,-1
54352,-1,-1
54353, 4,10
54354,-1,-1
54355,-1,-1
54356, 5, 0
54357,-1,-1
54358, 7,10
54359, 0, 0
54360,-1,-1
54361, 4, 0
54362, 3, 1
54363,-1,-1
54364,-1,-1
54365, 2, 5
54366,-1,-1
54367, 2, 0
54368,-1,-1
54369, 3, 3
54370, 4, 0
54371,-1,-1
54372, 1,14
54373,-1,-1
54374, 1,20
54375, 5, 0
54376, 5, 5
54377, 0, 3
54378, 2,20
54379,-1,-1
54380,-1,-1
54381, 1, 0
54382,-1,-1
54383, 3, 0
54384, 4, 0
54385, 3, 0
54386,-1,-1
54387,-1,-1
54388,16, 0
54389, 0,15
54390, 2, 2
54391, 1,30
54392,-1,-1
54393, 3, 2
54394,-1,-1
54395,12, 0
54396,-1,-1
54397,-1,-1
54398,-1,-1
54399,-1,-1
54400, 9, 3
54401,-1,-1
54402,-1,-1
54403, 8, 7
54404, 4, 2
54405, 4, 7
54406,-1,-1
54407,-1,-1
54408, 3, 0
54409,-1,-1
54410,-1,-1
54411,-1,-1
54412, 6, 0
54413,-1,-1
54414, 6,25
54415, 2, 0
54416, 0, 0
54417, 1, 3
54418, 2, 7
54419, 4,30
54420,-1,-1
54421,-1,-1
54422, 0, 0
54423, 0, 0
54424,-1,-1
54425,-1,-1
54426, 3, 0
54427,-1,-1
54428, 0, 0
54429,-1,-1
54430,-1,-1
54431,-1,-1
54432,-1,-1
54433, 6, 4
54434, 3, 0
54435, 1, 2
54436, 2, 0
54437, 6, 0
54438, 3, 0
54439, 5, 0
54440, 4, 0
54441, 6, 0
54442, 3, 0
54443, 2, 0
54444,-1,-1
54445,-1,-1
54446,-1,-1
54447, 6, 0
54448,98, 0
54449, 3, 0
54450, 1, 3
54451, 4, 0
54452, 1,14
54453, 1,10
54454,-1,-1
54455,-1,-1
54456, 3, 0
54457, 2, 0
54458,-1,-1
54459, 4, 0
54460, 2,15
54461,-1,-1
54462,-1,-1
54463, 4, 4
54464,-1,-1
54465,-1,-1
54466, 4, 0
54467,-1,-1
54468,-1,-1
54469,-1,-1
54470, 2, 0
54471, 2, 2
54472, 1, 4
54473, 2, 2
54474, 2, 0
54475, 5, 0
54476, 4, 0
54477, 4, 0
54478, 4, 2
54479,-1,-1
54480,-1,-1
54481,-1,-1
54482, 6, 0
54483,-1,-1
54484, 2,30
54485, 2, 0
54486,-1,-1
54487,-1,-1
54488, 3, 0
54489,-1,-1
54490,-1,-1
54491,-1,-1
54492,-1,-1
54493, 2, 0
54494, 2, 0
54495,12, 0
54496,-1,-1
54497, 1, 0
54498,-1,-1
54499,-1,-1
54500, 4, 0
54501,99,99
54502, 2, 0
54503,-1,-1
54504, 4, 0
54505, 7, 3
54506, 7, 0
54507,-1,-1
54508, 6, 0
54509, 6, 1
54510, 8, 0
54511, 3, 0
54512,-1,-1
54513, 4, 4
54514, 1,15
54515,-1,-1
54516, 6, 0
54517, 2, 1
54518, 5, 0
54519,-1,-1
54520,-1,-1
54521,-1,-1
54522, 1, 0
54523,-1,-1
54524, 2, 0
54525, 1, 5
54526, 5, 0
54527, 1, 7
54528,-1,-1
54529, 4, 0
54530, 1,27
54531,-1,-1
54532, 4, 1
54533, 1, 5
54534,-1,-1
54535, 6, 0
54536, 4, 0
54537,-1,-1
54538, 2, 0
54539,-1,-1
54540,-1,-1
54541, 0, 0
54542, 0, 0
54543,-1,-1
54544,-1,-1
54545, 2,15
54546,12, 0
54547, 3, 2
54548,-1,-1
54549, 2, 0
54550,-1,-1
54551, 5, 5
54552,-1,-1
54553, 4, 0
54554, 5, 0
54555,-1,-1
54556,-1,-1
54557,-1,-1
54558, 2, 5
54559, 1, 0
54560, 6,10
54561,-1,-1
54562, 2, 4
54563,-1,-1
54564, 2,20
54565, 3, 0
54566,-1,-1
54567,-1,-1
54568, 5, 0
54569, 0, 0
54570,-1,-1
54571, 2, 0
54572,-1,-1
54573,-1,-1
54574, 3, 0
54575, 0,30
54576, 2,21
54577, 2,30
54578, 2, 0
54579, 6,15
54580,-1,-1
54581, 8, 0
54582,-1,-1
54583,-1,-1
54584,-1,-1
54585, 2, 4
54586,12, 0
54587, 0, 0
54588,-1,-1
54589,-1,-1
54590, 1, 1
54591,-1,-1
54592, 4, 0
54593,-1,-1
54594,99,99
54595,-1,-1
54596, 6,10
54597,98, 0
54598,-1,-1
54599, 1, 1
54600, 3,30
54601, 3, 0
54602,-1,-1
54603,-1,-1
54604,-1,-1
54605,10, 0
54606, 4, 0
54607,-1,-1
54608, 5, 4
54609,-1,-1
54610,-1,-1
54611,-1,-1
54612, 6, 2
54613,-1,-1
54614,-1,-1
54615,-1,-1
54616,-1,-1
54617, 7, 0
54618,-1,-1
